m.id,o.id,n.year_of_publication,n.Erscheinungsort,n.controversy
02-0809,02-0782,1571,Wittenberg,Abendmahlslehre und Christologie
02-0809,02-0782,1571,Wittenberg,Abendmahlslehre und Christologie
02-0809,02-0782,1572,Wittenberg,Abendmahlslehre und Christologie
02-0810,02-0784,1559,Wittenberg,Majoristischer Streit
02-0706,02-0784,1562,Wittenberg,Antinomistischer Streit
02-0939,02-0784,1562,Wittenberg,Antinomistischer Streit
02-0893,02-0784,1562,Wittenberg,Antinomistischer Streit
02-1001,02-0786,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0820,02-0786,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0875,02-0786,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0953,02-0786,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0782,02-0791,1555,Wittenberg,Osiandrischer Streit
02-0782,02-0809,1571,Wittenberg,Abendmahlslehre und Christologie
02-0782,02-0809,1572,Wittenberg,Abendmahlslehre und Christologie
02-0782,02-0809,1571,Wittenberg,Abendmahlslehre und Christologie
02-0782,02-0809,1571,Wittenberg,Abendmahlslehre und Christologie
02-0782,02-0809,1571,Wittenberg,Abendmahlslehre und Christologie
02-0782,02-0809,1572,Wittenberg,Abendmahlslehre und Christologie
02-0784,02-0810,1559,Wittenberg,Majoristischer Streit
02-0786,02-0820,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-1001,02-0820,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0875,02-0820,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0953,02-0820,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0583,02-0852,1562,Wittenberg,Synergistischer Streit
02-0786,02-0875,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-1001,02-0875,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0820,02-0875,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0953,02-0875,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0706,02-0893,1562,Wittenberg,Antinomistischer Streit
02-0784,02-0893,1562,Wittenberg,Antinomistischer Streit
02-0939,02-0893,1562,Wittenberg,Antinomistischer Streit
02-0706,02-0939,1562,Wittenberg,Antinomistischer Streit
02-0784,02-0939,1562,Wittenberg,Antinomistischer Streit
02-0893,02-0939,1562,Wittenberg,Antinomistischer Streit
02-0786,02-0953,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-1001,02-0953,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0820,02-0953,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0875,02-0953,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0786,02-1001,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0820,02-1001,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0875,02-1001,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0953,02-1001,1573,Wittenberg,Abendmahlslehre und Christologie / Allgemeiner Druck
02-0716,02-1029,1552,Wittenberg,Osiandrischer Streit
02-1029,02-0782,1576,Wolfenbüttel,Obrigkeitliche Dokumente
02-0782,02-1029,1576,Wolfenbüttel,Obrigkeitliche Dokumente
02-0842,02-0770,1576,Zürich,Allgemeiner Druch
02-0770,02-0842,1576,Zürich,Allgemeiner Druch
